Year,State,Age Group (Years),State Rate,State Births
1/1/2011,Wisconsin,15-17 years,10.6,1190
1/1/2011,Wyoming,15-17 years,14.7,153
1/1/2015,Oregon,15-17 years,7.9,574
1/1/2012,Alabama,15-17 years,18.4,1725
1/1/2012,Alaska,15-17 years,12.3,182
1/1/2012,Arizona,15-17 years,18.7,2452
1/1/2012,Arkansas,15-17 years,21.3,1222
1/1/2012,California,15-17 years,13.2,10345
1/1/2012,Colorado,15-17 years,12.2,1173
1/1/2012,Connecticut,15-17 years,7.3,528
1/1/2012,Delaware,15-17 years,11.7,198
1/1/2012,District of Columbia,15-17 years,29,239
1/1/2012,Florida,15-17 years,12.4,4221
1/1/2012,Georgia,15-17 years,16,3219
1/1/2012,Hawaii,15-17 years,11.8,283
1/1/2012,Idaho,15-17 years,11.7,391
1/1/2012,Illinois,15-17 years,13.6,3562
1/1/2012,Indiana,15-17 years,15.5,2056
1/1/2012,Iowa,15-17 years,10.8,635
1/1/2012,Kansas,15-17 years,14.5,833
1/1/2012,Kentucky,15-17 years,18.1,1479
1/1/2012,Louisiana,15-17 years,19.5,1740
1/1/2012,Maine,15-17 years,7.2,172
1/1/2012,Maryland,15-17 years,10.5,1194
1/1/2012,Massachusetts,15-17 years,6.8,837
1/1/2012,Michigan,15-17 years,11.9,2386
1/1/2012,Minnesota,15-17 years,8.4,880
1/1/2012,Mississippi,15-17 years,22.1,1348
1/1/2012,Missouri,15-17 years,13.9,1613
1/1/2012,Montana,15-17 years,12.6,229
1/1/2012,Nebraska,15-17 years,12.6,453
1/1/2012,Nevada,15-17 years,15,820
1/1/2012,New Hampshire,15-17 years,6.2,160
1/1/2012,New Jersey,15-17 years,7.7,1343
1/1/2012,New Mexico,15-17 years,24.1,999
1/1/2012,New York,15-17 years,9.5,3511
1/1/2012,North Carolina,15-17 years,15.4,2830
1/1/2012,North Dakota,15-17 years,12.1,149
1/1/2012,Ohio,15-17 years,13.2,3006
1/1/2012,Oklahoma,15-17 years,22.8,1667
1/1/2012,Oregon,15-17 years,11.1,798
1/1/2012,Pennsylvania,15-17 years,12.1,2886
1/1/2012,Rhode Island,15-17 years,10.9,210
1/1/2012,South Carolina,15-17 years,17.2,1498
1/1/2012,South Dakota,15-17 years,16.4,264
1/1/2012,Tennessee,15-17 years,17.3,2126
1/1/2012,Texas,15-17 years,23.4,12938
1/1/2012,Utah,15-17 years,10.3,668
1/1/2012,Vermont,15-17 years,7.4,85
1/1/2012,Virginia,15-17 years,10.2,1560
1/1/2012,Washington,15-17 years,10.7,1385
1/1/2012,West Virginia,15-17 years,20.1,649
1/1/2012,Wisconsin,15-17 years,10.3,1135
1/1/2012,Wyoming,15-17 years,13.3,141
1/1/2013,Alabama,15-17 years,15.8,1471
1/1/2013,Alaska,15-17 years,11,162
1/1/2013,Arizona,15-17 years,15.3,2011
1/1/2013,Arkansas,15-17 years,18.3,1059
1/1/2013,California,15-17 years,11.1,8525
1/1/2013,Colorado,15-17 years,11.6,1129
1/1/2013,Connecticut,15-17 years,6.2,445
1/1/2013,Delaware,15-17 years,12.3,201
1/1/2013,District of Columbia,15-17 years,23.9,185
1/1/2013,Florida,15-17 years,10.8,3699
1/1/2013,Georgia,15-17 years,13.9,2799
1/1/2013,Hawaii,15-17 years,10.4,247
1/1/2013,Idaho,15-17 years,9.2,312
1/1/2013,Illinois,15-17 years,11.7,2990
1/1/2013,Indiana,15-17 years,13.6,1799
1/1/2013,Iowa,15-17 years,9.8,580
1/1/2013,Kentucky,15-17 years,16.7,1374
1/1/2013,Louisiana,15-17 years,17.4,1550
1/1/2013,Maine,15-17 years,7.1,166
1/1/2013,Maryland,15-17 years,9.1,1027
1/1/2013,Massachusetts,15-17 years,6,734
1/1/2013,Michigan,15-17 years,10.6,2098
1/1/2013,Minnesota,15-17 years,7.3,758
1/1/2013,Mississippi,15-17 years,19.5,1162
1/1/2013,Missouri,15-17 years,12.6,1459
1/1/2013,Montana,15-17 years,12.6,229
1/1/2013,Nebraska,15-17 years,11.4,412
1/1/2013,Nevada,15-17 years,12.4,673
1/1/2013,New Hampshire,15-17 years,4.7,118
1/1/2013,New Jersey,15-17 years,6.8,1183
1/1/2013,New Mexico,15-17 years,22.3,909
1/1/2013,New York,15-17 years,8.3,2980
1/1/2013,North Carolina,15-17 years,13.1,2422
1/1/2013,North Dakota,15-17 years,9.9,125
1/1/2013,Ohio,15-17 years,11.6,2641
1/1/2013,Oklahoma,15-17 years,20.5,1518
1/1/2013,Oregon,15-17 years,9.7,694
1/1/2013,Pennsylvania,15-17 years,10.3,2407
1/1/2013,Rhode Island,15-17 years,9.3,176
1/1/2013,South Carolina,15-17 years,14.5,1261
1/1/2013,South Dakota,15-17 years,13.2,214
1/1/2013,Tennessee,15-17 years,15.1,1855
1/1/2013,Texas,15-17 years,21.1,11730
1/1/2013,Utah,15-17 years,8.6,572
1/1/2013,Vermont,15-17 years,4.9,55
1/1/2013,Virginia,15-17 years,8,1210
1/1/2013,Washington,15-17 years,8.8,1145
1/1/2013,West Virginia,15-17 years,17.1,548
1/1/2013,Wisconsin,15-17 years,8.5,938
1/1/2013,Wyoming,15-17 years,13,141
1/1/2014,Alabama,15-17 years,14.5,1358
1/1/2014,Alaska,15-17 years,9.5,140
1/1/2014,Arizona,15-17 years,13.4,1783
1/1/2014,Arkansas,15-17 years,16.2,945
1/1/2014,California,15-17 years,9.6,7325
1/1/2014,Colorado,15-17 years,8.9,886
1/1/2014,Connecticut,15-17 years,5.5,391
1/1/2014,Delaware,15-17 years,10.1,171
1/1/2014,District of Columbia,15-17 years,22.3,174
1/1/2014,Florida,15-17 years,9.3,3207
1/1/2014,Georgia,15-17 years,12.5,2561
1/1/2014,Hawaii,15-17 years,9.6,225
1/1/2014,Idaho,15-17 years,9,311
1/1/2014,Illinois,15-17 years,10.4,2621
1/1/2014,Indiana,15-17 years,11.9,1581
1/1/2014,Iowa,15-17 years,8.6,512
1/1/2014,Kansas,15-17 years,11.9,684
1/1/2014,Kentucky,15-17 years,14.7,1229
1/1/2014,Louisiana,15-17 years,15.7,1411
1/1/2014,Maine,15-17 years,6.7,156
1/1/2014,Maryland,15-17 years,8.5,957
1/1/2014,Massachusetts,15-17 years,4.9,599
1/1/2014,Michigan,15-17 years,8.9,1747
1/1/2014,Minnesota,15-17 years,6.8,708
1/1/2014,Mississippi,15-17 years,17.6,1051
1/1/2014,Missouri,15-17 years,11.8,1356
1/1/2014,Montana,15-17 years,13,237
1/1/2014,Nebraska,15-17 years,9.7,352
1/1/2014,Nevada,15-17 years,12.2,663
1/1/2014,New Hampshire,15-17 years,4.4,110
1/1/2014,New Jersey,15-17 years,5.8,1004
1/1/2014,New Mexico,15-17 years,19,768
1/1/2014,New York,15-17 years,7.2,2570
1/1/2014,North Carolina,15-17 years,12.2,2302
1/1/2014,North Dakota,15-17 years,8.6,111
1/1/2014,Ohio,15-17 years,10.6,2406
1/1/2014,Oklahoma,15-17 years,16.9,1274
1/1/2014,Oregon,15-17 years,8.5,609
1/1/2014,Pennsylvania,15-17 years,9,2094
1/1/2014,Rhode Island,15-17 years,7.6,145
1/1/2014,South Carolina,15-17 years,13.4,1186
1/1/2014,South Dakota,15-17 years,13.2,216
1/1/2014,Tennessee,15-17 years,13.6,1695
1/1/2014,Texas,15-17 years,18.8,10644
1/1/2014,Utah,15-17 years,7.9,538
1/1/2014,Vermont,15-17 years,5.5,62
1/1/2014,Virginia,15-17 years,7.7,1178
1/1/2014,Washington,15-17 years,8.3,1078
1/1/2014,West Virginia,15-17 years,15.8,506
1/1/2014,Wisconsin,15-17 years,7.5,824
1/1/2014,Wyoming,15-17 years,11.8,130
1/1/2015,Alabama,15-17 years,13.5,1295
1/1/2015,Alaska,15-17 years,9.8,142
1/1/2015,Arizona,15-17 years,11.8,1603
1/1/2015,Arkansas,15-17 years,15.6,913
1/1/2015,California,15-17 years,8.5,6448
1/1/2015,Colorado,15-17 years,8.4,852
1/1/2015,Connecticut,15-17 years,4.6,324
1/1/2015,Delaware,15-17 years,8.2,142
1/1/2015,District of Columbia,15-17 years,18.2,141
1/1/2015,Florida,15-17 years,8.8,3103
1/1/2015,Georgia,15-17 years,11.4,2389
1/1/2015,Hawaii,15-17 years,7.8,184
1/1/2015,Idaho,15-17 years,8.5,300
1/1/2015,Illinois,15-17 years,9.7,2458
1/1/2015,Indiana,15-17 years,11.1,1499
1/1/2015,Iowa,15-17 years,7.7,466
1/1/2015,Kansas,15-17 years,9.9,576
1/1/2015,Kentucky,15-17 years,13.3,1120
1/1/2015,Louisiana,15-17 years,14.9,1366
1/1/2015,Maine,15-17 years,5.3,123
1/1/2015,Maryland,15-17 years,8.4,947
1/1/2015,Massachusetts,15-17 years,4.4,539
1/1/2015,Michigan,15-17 years,7.8,1533
1/1/2015,Minnesota,15-17 years,5.7,594
1/1/2015,Mississippi,15-17 years,16.1,981
1/1/2015,Missouri,15-17 years,10.3,1207
1/1/2015,Montana,15-17 years,9.9,180
1/1/2015,Nebraska,15-17 years,10,370
1/1/2015,Nevada,15-17 years,11.6,637
1/1/2015,New Hampshire,15-17 years,4.2,101
1/1/2015,New Jersey,15-17 years,5.3,918
1/1/2015,New Mexico,15-17 years,17.1,694
1/1/2015,New York,15-17 years,6.8,2420
1/1/2015,North Carolina,15-17 years,10.9,2106
1/1/2015,North Dakota,15-17 years,10,128
1/1/2015,Ohio,15-17 years,10.1,2293
1/1/2015,Oklahoma,15-17 years,15.9,1225
1/1/2015,Pennsylvania,15-17 years,8.2,1917
1/1/2015,Rhode Island,15-17 years,7.5,141
1/1/2015,South Carolina,15-17 years,11.4,1043
1/1/2015,South Dakota,15-17 years,9.7,155
1/1/2015,Tennessee,15-17 years,12.6,1580
1/1/2015,Texas,15-17 years,16.7,9704
1/1/2015,Utah,15-17 years,6.9,489
1/1/2015,Vermont,15-17 years,3.9,43
1/1/2015,Virginia,15-17 years,6.9,1056
1/1/2015,Washington,15-17 years,7.3,957
1/1/2015,West Virginia,15-17 years,12.3,399
1/1/2015,Wisconsin,15-17 years,6.4,706
1/1/2015,Wyoming,15-17 years,9.7,103
1/1/1990,Alabama,15-19 years,71,11252
1/1/1990,Alaska,15-19 years,65.3,1142
1/1/1990,Arizona,15-19 years,75.5,9612
1/1/1990,Arkansas,15-19 years,80.1,7011
1/1/1990,California,15-19 years,70.6,69712
1/1/1990,Colorado,15-19 years,54.5,5975
1/1/1990,Connecticut,15-19 years,38.8,4038
1/1/1990,Delaware,15-19 years,54.5,1277
1/1/1990,District of Columbia,15-19 years,93.1,2030
1/1/1990,Florida,15-19 years,69.1,27017
1/1/1990,Georgia,15-19 years,75.5,18369
1/1/1990,Hawaii,15-19 years,61.2,2122
1/1/1990,Idaho,15-19 years,50.6,2009
1/1/1990,Illinois,15-19 years,62.9,24967
1/1/1990,Indiana,15-19 years,58.6,12335
1/1/1990,Iowa,15-19 years,40.5,3989
1/1/1990,Kansas,15-19 years,56.1,4722
1/1/1990,Kentucky,15-19 years,67.6,9349
1/1/1990,Louisiana,15-19 years,74.2,12270
1/1/1990,Maine,15-19 years,43,1857
1/1/1990,Maryland,15-19 years,53.2,8143
1/1/1990,Massachusetts,15-19 years,35.1,7266
1/1/1990,Michigan,15-19 years,59,20312
1/1/1990,Minnesota,15-19 years,36.3,5342
1/1/1990,Mississippi,15-19 years,81,8909
1/1/1990,Missouri,15-19 years,62.8,11227
1/1/1990,Montana,15-19 years,48.4,1331
1/1/1990,Nebraska,15-19 years,42.3,2352
1/1/1990,Nevada,15-19 years,73.3,2663
1/1/1990,New Hampshire,15-19 years,33,1258
1/1/1990,New Jersey,15-19 years,40.5,10068
1/1/1990,New Mexico,15-19 years,78.2,4367
1/1/1990,New York,15-19 years,43.6,26608
1/1/1990,North Carolina,15-19 years,67.6,16506
1/1/1990,North Dakota,15-19 years,35.4,793
1/1/1990,Ohio,15-19 years,57.9,22690
1/1/1990,Oklahoma,15-19 years,66.8,7590
1/1/1990,Oregon,15-19 years,54.6,5084
1/1/1990,Pennsylvania,15-19 years,44.9,18216
1/1/1990,Rhode Island,15-19 years,43.9,1564
1/1/1990,South Carolina,15-19 years,71.3,9721
1/1/1990,South Dakota,15-19 years,46.8,1172
1/1/1990,Tennessee,15-19 years,72.3,12928
1/1/1990,Texas,15-19 years,75.3,48302
1/1/1990,Utah,15-19 years,48.5,3707
1/1/1990,Vermont,15-19 years,34,702
1/1/1990,Virginia,15-19 years,52.9,11353
1/1/1990,Washington,15-19 years,53.1,8397
1/1/1990,West Virginia,15-19 years,57.3,3976
1/1/1990,Wisconsin,15-19 years,42.6,7281
1/1/1990,Wyoming,15-19 years,56.3,943
1/1/1991,Alabama,15-19 years,73.6,11272
1/1/1991,Alaska,15-19 years,66,1215
1/1/1991,Arizona,15-19 years,79.7,9922
1/1/1991,Arkansas,15-19 years,79.5,6880
1/1/1991,California,15-19 years,73.8,70442
1/1/1991,Colorado,15-19 years,58.3,6259
1/1/1991,Connecticut,15-19 years,40.1,3903
1/1/1991,Delaware,15-19 years,60.4,1320
1/1/1991,District of Columbia,15-19 years,109.6,1949
1/1/1991,Florida,15-19 years,67.9,26200
1/1/1991,Georgia,15-19 years,76,17896
1/1/1991,Hawaii,15-19 years,59.2,2073
1/1/1991,Idaho,15-19 years,53.9,2221
1/1/1991,Illinois,15-19 years,64.5,24662
1/1/1991,Indiana,15-19 years,60.4,12148
1/1/1991,Iowa,15-19 years,42.5,4044
1/1/1991,Kansas,15-19 years,55.4,4534
1/1/1991,Kentucky,15-19 years,68.8,9253
1/1/1991,Louisiana,15-19 years,76,12286
1/1/1991,Maine,15-19 years,43.5,1805
1/1/1991,Maryland,15-19 years,54.1,7947
1/1/1991,Massachusetts,15-19 years,37.5,6896
1/1/1991,Michigan,15-19 years,58.9,19405
1/1/1991,Minnesota,15-19 years,37.3,5345
1/1/1991,Mississippi,15-19 years,85.3,9062
1/1/1991,Missouri,15-19 years,64.4,11121
1/1/1991,Montana,15-19 years,46.8,1311
1/1/1991,Nebraska,15-19 years,42.4,2329
1/1/1991,Nevada,15-19 years,74.5,2798
1/1/1991,New Hampshire,15-19 years,33.1,1156
1/1/1991,New Jersey,15-19 years,41.3,9901
1/1/1991,New Mexico,15-19 years,79.5,4518
1/1/1991,New York,15-19 years,45.5,26231
1/1/1991,North Carolina,15-19 years,70,16132
1/1/1991,North Dakota,15-19 years,35.5,769
1/1/1991,Ohio,15-19 years,60.5,22721
1/1/1991,Oklahoma,15-19 years,72.1,8040
1/1/1991,Oregon,15-19 years,54.8,5140
1/1/1991,Pennsylvania,15-19 years,46.7,17854
1/1/1991,Rhode Island,15-19 years,44.7,1408
1/1/1991,South Carolina,15-19 years,72.5,9515
1/1/1991,South Dakota,15-19 years,47.6,1192
1/1/1991,Tennessee,15-19 years,74.8,12868
1/1/1991,Texas,15-19 years,78.4,49588
1/1/1991,Utah,15-19 years,48,3829
1/1/1991,Vermont,15-19 years,39.2,739
1/1/1991,Virginia,15-19 years,53.4,10890
1/1/1991,Washington,15-19 years,53.7,8490
1/1/1991,West Virginia,15-19 years,58,3900
1/1/1991,Wisconsin,15-19 years,43.7,7270
1/1/1991,Wyoming,15-19 years,54.3,928
1/1/1992,Alabama,15-19 years,72,10960
1/1/1992,Alaska,15-19 years,65.2,1260
1/1/1992,Arizona,15-19 years,80.2,10147
1/1/1992,Arkansas,15-19 years,74.8,6554
1/1/1992,California,15-19 years,72.8,69401
1/1/1992,Colorado,15-19 years,58.4,6401
1/1/1992,Connecticut,15-19 years,39,3701
1/1/1992,Delaware,15-19 years,58.7,1265
1/1/1992,District of Columbia,15-19 years,106.7,1704
1/1/1992,Florida,15-19 years,65.2,25213
1/1/1992,Georgia,15-19 years,74.2,17462
1/1/1992,Hawaii,15-19 years,54.2,1956
1/1/1992,Idaho,15-19 years,51.5,2229
1/1/1992,Illinois,15-19 years,63,23981
1/1/1992,Indiana,15-19 years,58.5,11668
1/1/1992,Iowa,15-19 years,40.5,3872
1/1/1992,Kansas,15-19 years,55.6,4640
1/1/1992,Kentucky,15-19 years,64.8,8710
1/1/1992,Louisiana,15-19 years,76.1,12392
1/1/1992,Maine,15-19 years,40,1625
1/1/1992,Maryland,15-19 years,50.6,7356
1/1/1992,Massachusetts,15-19 years,37.5,6558
1/1/1992,Michigan,15-19 years,56.6,18374
1/1/1992,Minnesota,15-19 years,35.9,5210
1/1/1992,Mississippi,15-19 years,83.6,8810
1/1/1992,Missouri,15-19 years,63.1,10857
1/1/1992,Montana,15-19 years,46,1345
1/1/1992,Nebraska,15-19 years,41.1,2285
1/1/1992,Nevada,15-19 years,70.6,2719
1/1/1992,New Hampshire,15-19 years,31.3,1062
1/1/1992,New Jersey,15-19 years,38.9,9262
1/1/1992,New Mexico,15-19 years,79.7,4670
1/1/1992,New York,15-19 years,44.5,25363
1/1/1992,North Carolina,15-19 years,69.2,15653
1/1/1992,North Dakota,15-19 years,36.9,811
1/1/1992,Ohio,15-19 years,58,21539
1/1/1992,Oklahoma,15-19 years,69.8,7858
1/1/1992,Oregon,15-19 years,53,5125
1/1/1992,Pennsylvania,15-19 years,44.8,16835
1/1/1992,Rhode Island,15-19 years,46.2,1381
1/1/1992,South Carolina,15-19 years,69.7,9052
1/1/1992,South Dakota,15-19 years,48.3,1245
1/1/1992,Tennessee,15-19 years,70.9,12127
1/1/1992,Texas,15-19 years,78.2,49805
1/1/1992,Utah,15-19 years,45.7,3869
1/1/1992,Vermont,15-19 years,35.6,649
1/1/1992,Virginia,15-19 years,51.7,10465
1/1/1992,Washington,15-19 years,51,8303
1/1/1992,West Virginia,15-19 years,56.3,3758
1/1/1992,Wisconsin,15-19 years,42,7050
1/1/1992,Wyoming,15-19 years,49.8,878
1/1/1993,Arkansas,15-19 years,72.8,6486
1/1/1993,Alabama,15-19 years,69.2,10645
1/1/1993,Alaska,15-19 years,59.7,1183
1/1/1993,Arizona,15-19 years,78.1,10252
1/1/1993,California,15-19 years,71.8,68643
1/1/1993,Colorado,15-19 years,55.8,6324
1/1/1993,Connecticut,15-19 years,38.8,3655
1/1/1993,Delaware,15-19 years,58,1277
1/1/1993,District of Columbia,15-19 years,112.8,1766
1/1/1993,Florida,15-19 years,63.7,25037
1/1/1993,Georgia,15-19 years,72,17230
1/1/1993,Hawaii,15-19 years,53.7,1960
1/1/1993,Idaho,15-19 years,50.3,2309
1/1/1993,Illinois,15-19 years,62,23776
1/1/1993,Indiana,15-19 years,57.9,11690
1/1/1993,Iowa,15-19 years,40.7,4003
1/1/1993,Kansas,15-19 years,55.5,4767
1/1/1993,Kentucky,15-19 years,63.7,8692
1/1/1993,Louisiana,15-19 years,75.9,12551
1/1/1993,Maine,15-19 years,37.1,1505
1/1/1993,Maryland,15-19 years,49.7,7253
1/1/1993,Massachusetts,15-19 years,37.2,6473
1/1/1993,Michigan,15-19 years,53.1,17226
1/1/1993,Minnesota,15-19 years,35,5216
1/1/1993,Mississippi,15-19 years,82.2,8768
1/1/1993,Missouri,15-19 years,59.4,10431
1/1/1993,Montana,15-19 years,46.1,1402
1/1/1993,Nebraska,15-19 years,40.5,2305
1/1/1993,Nevada,15-19 years,73.2,2922
1/1/1993,New Hampshire,15-19 years,30.5,1046
1/1/1993,New Jersey,15-19 years,37.9,8999
1/1/1993,New Mexico,15-19 years,80.6,4873
1/1/1993,New York,15-19 years,44.6,25539
1/1/1993,North Carolina,15-19 years,66.1,15113
1/1/1993,North Dakota,15-19 years,36.3,822
1/1/1993,Ohio,15-19 years,56.7,21173
1/1/1993,Oklahoma,15-19 years,68.3,7807
1/1/1993,Oregon,15-19 years,50.8,5092
1/1/1993,Pennsylvania,15-19 years,43.7,16508
1/1/1993,Rhode Island,15-19 years,47.6,1437
1/1/1993,South Carolina,15-19 years,64.7,8448
1/1/1993,South Dakota,15-19 years,44.4,1185
1/1/1993,Tennessee,15-19 years,69.2,11992
1/1/1993,Texas,15-19 years,77.7,50425
1/1/1993,Utah,15-19 years,43.4,3951
1/1/1993,Vermont,15-19 years,34.8,641
1/1/1993,Virginia,15-19 years,49.6,10104
1/1/1993,Washington,15-19 years,50.5,8483
1/1/1993,West Virginia,15-19 years,55.6,3738
1/1/1993,Wisconsin,15-19 years,41,7060
1/1/1993,Wyoming,15-19 years,49.9,910
1/1/1994,Oregon,15-19 years,50.2,5240
1/1/1994,Alabama,15-19 years,70.6,10999
1/1/1994,Alaska,15-19 years,59.5,1210
1/1/1994,Arizona,15-19 years,76.8,10589
1/1/1994,Arkansas,15-19 years,74.8,6797
1/1/1994,California,15-19 years,70.2,68332
1/1/1994,Colorado,15-19 years,55.2,6526
1/1/1994,Connecticut,15-19 years,39.7,3776
1/1/1994,Delaware,15-19 years,57.8,1322
1/1/1994,District of Columbia,15-19 years,97,1547
1/1/1994,Florida,15-19 years,63,25435
1/1/1994,Georgia,15-19 years,70.6,17337
1/1/1994,Hawaii,15-19 years,54.4,2017
1/1/1994,Idaho,15-19 years,46.1,2248
1/1/1994,Illinois,15-19 years,61.5,24031
1/1/1994,Indiana,15-19 years,57,11739
1/1/1994,Iowa,15-19 years,39.3,3991
1/1/1994,Kansas,15-19 years,53.3,4741
1/1/1994,Kentucky,15-19 years,64.2,8919
1/1/1994,Louisiana,15-19 years,74.5,12633
1/1/1994,Maine,15-19 years,35.6,1459
1/1/1994,Maryland,15-19 years,49.3,7332
1/1/1994,Massachusetts,15-19 years,36.4,6415
1/1/1994,Michigan,15-19 years,52,17063
1/1/1994,Minnesota,15-19 years,34.4,5336
1/1/1994,Mississippi,15-19 years,81.7,8897
1/1/1994,Missouri,15-19 years,58.6,10584
1/1/1994,Montana,15-19 years,41.6,1320
1/1/1994,Nebraska,15-19 years,42.9,2509
1/1/1994,Nevada,15-19 years,73.4,3134
1/1/1994,New Hampshire,15-19 years,29.9,1051
1/1/1994,New Jersey,15-19 years,39,9345
1/1/1994,New Mexico,15-19 years,77,4841
1/1/1994,New York,15-19 years,44.3,25729
1/1/1994,North Carolina,15-19 years,65.3,15224
1/1/1994,North Dakota,15-19 years,33.9,796
1/1/1994,Ohio,15-19 years,54.9,20823
1/1/1994,Oklahoma,15-19 years,65.6,7670
1/1/1994,Pennsylvania,15-19 years,42.9,16476
1/1/1994,Rhode Island,15-19 years,45,1389
1/1/1994,South Carolina,15-19 years,64.7,8585
1/1/1994,South Dakota,15-19 years,43,1192
1/1/1994,Tennessee,15-19 years,69.7,12350
1/1/1994,Texas,15-19 years,77.2,51471
1/1/1994,Utah,15-19 years,41.4,4043
1/1/1994,Vermont,15-19 years,32.4,617
1/1/1994,Virginia,15-19 years,50.5,10470
1/1/1994,Washington,15-19 years,48.6,8467
1/1/1994,West Virginia,15-19 years,54.3,3674
1/1/1994,Wisconsin,15-19 years,38.8,6876
1/1/1994,Wyoming,15-19 years,48.7,921
1/1/1995,Alabama,15-19 years,68.5,10857
1/1/1995,Alaska,15-19 years,54.5,1136
1/1/1995,Arizona,15-19 years,73.5,10745
1/1/1995,Arkansas,15-19 years,71.9,6710
1/1/1995,California,15-19 years,66.8,66764
1/1/1995,Colorado,15-19 years,52.3,6464
1/1/1995,Connecticut,15-19 years,38.6,3716
1/1/1995,Delaware,15-19 years,54.6,1301
1/1/1995,District of Columbia,15-19 years,85.2,1404
1/1/1995,Florida,15-19 years,60.2,25088
1/1/1995,Georgia,15-19 years,69.8,17727
1/1/1995,Hawaii,15-19 years,48.8,1841
1/1/1995,Idaho,15-19 years,48.7,2489
1/1/1995,Illinois,15-19 years,58.4,23467
1/1/1995,Indiana,15-19 years,56.6,11933
1/1/1995,Iowa,15-19 years,38.3,4024
1/1/1995,Kansas,15-19 years,52,4801
1/1/1995,Kentucky,15-19 years,62.3,8819
1/1/1995,Louisiana,15-19 years,69.9,12208
1/1/1995,Maine,15-19 years,33.9,1406
1/1/1995,Maryland,15-19 years,47.2,7211
1/1/1995,Massachusetts,15-19 years,33.3,6001
1/1/1995,Michigan,15-19 years,49.1,16467
1/1/1995,Minnesota,15-19 years,32.5,5241
1/1/1995,Mississippi,15-19 years,79.2,8848
1/1/1995,Missouri,15-19 years,55.1,10282
1/1/1995,Montana,15-19 years,42.4,1395
1/1/1995,Nebraska,15-19 years,37.8,2283
1/1/1995,Nevada,15-19 years,73.4,3351
1/1/1995,New Hampshire,15-19 years,30.3,1103
1/1/1995,New Jersey,15-19 years,37.7,9151
1/1/1995,New Mexico,15-19 years,74,4844
1/1/1995,New York,15-19 years,42.2,24826
1/1/1995,North Carolina,15-19 years,63,15049
1/1/1995,North Dakota,15-19 years,32.9,800
1/1/1995,Ohio,15-19 years,53.4,20631
1/1/1995,Oklahoma,15-19 years,63.7,7639
1/1/1995,Oregon,15-19 years,50.1,5448
1/1/1995,Pennsylvania,15-19 years,40.9,15979
1/1/1995,Rhode Island,15-19 years,39.8,1267
1/1/1995,South Carolina,15-19 years,62.8,8518
1/1/1995,South Dakota,15-19 years,40.9,1179
1/1/1995,Tennessee,15-19 years,66.6,12118
1/1/1995,Texas,15-19 years,75.6,52135
1/1/1995,Utah,15-19 years,40.9,4222
1/1/1995,Vermont,15-19 years,28.1,553
1/1/1995,Virginia,15-19 years,48.4,10270
1/1/1995,Washington,15-19 years,48,8709
1/1/1995,West Virginia,15-19 years,52.7,3584
1/1/1995,Wisconsin,15-19 years,37.9,6932
1/1/1995,Wyoming,15-19 years,47.9,937
1/1/1996,Alabama,15-19 years,67.1,10807
1/1/1996,Alaska,15-19 years,50.8,1096
1/1/1996,Arizona,15-19 years,71.5,11009
1/1/1996,Arkansas,15-19 years,73.5,7026
1/1/1996,California,15-19 years,61,63222
1/1/1996,Colorado,15-19 years,50.7,6541
1/1/1996,Connecticut,15-19 years,36.6,3578
1/1/1996,Delaware,15-19 years,53.8,1334
1/1/1996,District of Columbia,15-19 years,79.2,1354
1/1/1996,Florida,15-19 years,57.2,24806
1/1/1996,Georgia,15-19 years,66.8,17648
1/1/1996,Hawaii,15-19 years,48.9,1884
1/1/1996,Idaho,15-19 years,46.9,2486
1/1/1996,Illinois,15-19 years,55.3,22831
1/1/1996,Indiana,15-19 years,55.1,11875
1/1/1996,Iowa,15-19 years,37.4,4047
1/1/1996,Kansas,15-19 years,49.4,4714
1/1/1996,Kentucky,15-19 years,61.2,8786
1/1/1996,Louisiana,15-19 years,66.8,11945
1/1/1996,Maine,15-19 years,31.7,1333
1/1/1996,Maryland,15-19 years,45.7,7186
1/1/1996,Massachusetts,15-19 years,31.1,5761
1/1/1996,Michigan,15-19 years,46.4,15909
1/1/1996,Minnesota,15-19 years,32.3,5417
1/1/1996,Mississippi,15-19 years,74,8451
1/1/1996,Missouri,15-19 years,53.2,10262
1/1/1996,Montana,15-19 years,39.3,1326
1/1/1996,Nebraska,15-19 years,38.9,2434
1/1/1996,Nevada,15-19 years,69.5,3402
1/1/1996,New Hampshire,15-19 years,28.2,1072
1/1/1996,New Jersey,15-19 years,35.2,8639
1/1/1996,New Mexico,15-19 years,70.5,4775
1/1/1996,New York,15-19 years,39.9,23876
1/1/1996,North Carolina,15-19 years,62.3,15296
1/1/1996,North Dakota,15-19 years,31.6,793
1/1/1996,Ohio,15-19 years,50.4,19851
1/1/1996,Oklahoma,15-19 years,63.1,7780
1/1/1996,Oregon,15-19 years,50.5,5681
1/1/1996,Pennsylvania,15-19 years,38.4,15330
1/1/1996,Rhode Island,15-19 years,38.9,1285
1/1/1996,South Carolina,15-19 years,60.2,8362
1/1/1996,South Dakota,15-19 years,40.1,1189
1/1/1996,Tennessee,15-19 years,64.5,12061
1/1/1996,Texas,15-19 years,73.1,52273
1/1/1996,Utah,15-19 years,41.2,4438
1/1/1996,Vermont,15-19 years,29.5,601
1/1/1996,Virginia,15-19 years,45.4,9912
1/1/1996,Washington,15-19 years,45.6,8609
